"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Kedah","6.1673","100.5194","Pokok Sena","322","133057","413","128272","4785","68364","64693","85.2","113365","12.2","16233","2.2","2927","0.5","665","23.5","31268","65.5","87152","11","14636","72","95801","52.6","35.8","16.8","106","41373","34802","3.7","1066","1038","468","380","88.9","118288","10.5","13971","0.5","665","60.7","60700","57.9","57900","2.8","2800","31.6","31600","65.8","4.6","4443","5522","3564","0.33","6.8","78","376","48","30","255","121","76","1","1","0","369","1","5","1","76","0","1","1","0","370","1","1","4","0","0","1","48","29","0","2","265","109"
"Kedah","6.1263","100.3672","Alor Setar","111","119010","1072","112474","6536","58863","60147","68.5","81522","28.1","33442","3","3570","0.3","357","22.9","27253","66.8","79499","10.2","12139","71.9","85568","49.6","34.3","15.3","98","35093","30140","3.8","941","854","414","312","86.3","102706","12.8","15233","0.9","1071","50.7","50700","47.9","47900","2.8","2800","31.1","31100","61.9","5.5","4543","5540","4146","0.32","4.9","47","183","25","22","113","70","44","0","3","0","171","2","10","0","45","0","0","2","0","175","1","2","4","1","0","0","21","26","0","3","114","66"
"Kedah","6.1056","100.2914","Kuala Kedah","233","172099","739","167709","4390","86260","85839","75.6","130107","22.9","39411","1.2","2065","0.3","516","26","44746","64.4","110832","9.7","16694","69","118748","55.3","40.3","15","100","48799","43175","3.9","1399","1287","615","472","86.2","148349","13.8","23750","0","0","71.4","71400","67.7","67700","3.7","3700","45.2","45200","61.2","5.2","4405","5912","4183","0.38","7.3","158","526","99","59","360","166","156","1","1","0","514","8","3","1","157","0","0","1","0","515","1","8","2","0","0","1","80","77","0","8","337","181"
"Kedah","5.993","100.4773","Pendang","629","99363","158","97451","1912","52673","46690","90.8","90222","2.9","2882","0.4","397","5.9","5862","28","27822","62.3","61903","9.6","9539","67.2","66772","60.4","45","15.5","113","29702","24165","4.1","793","807","349","296","95.1","94494","4.5","4471","0.3","298","43.6","43600","41.4","41400","2.1","2100","24.3","24300","64.2","4.9","3765","4680","2798","0.31","8.1","90","319","60","30","260","59","90","0","0","0","303","4","1","11","90","0","0","0","0","303","0","15","1","0","0","0","56","34","0","3","241","75"
"Kedah","5.7875","100.4339","Jerai","458","126200","276","124620","1580","63997","62203","87.5","110425","7.5","9465","4.8","6058","0.2","252","27.3","34453","62.4","78749","10.2","12872","66.9","84428","60.2","43.8","16.4","103","34551","30131","4.2","1015","950","446","347","87.6","110551","10.2","12872","2.3","2903","49.4","49400","48","48000","1.4","1400","32.5","32500","60.3","2.9","3313","4404","2635","0.38","14.9","107","435","54","53","306","129","103","1","3","0","427","2","6","0","104","0","1","2","0","428","0","2","5","0","0","1","56","50","0","1","294","140"
"Kedah","5.8183","100.743","Sik","1645","67640","41","65525","2115","34538","33102","94.1","63649","0.8","541","0.1","68","5.1","3450","23.2","15692","64.8","43831","11.9","8049","71.4","48295","54.2","35.8","18.4","104","19044","17335","3.8","563","524","248","191","89.9","60808","6.6","4464","3.5","2367","30.4","30400","29.6","29600","0.8","800","19.3","19300","61.1","2.8","4096","4960","2921","0.32","7.6","198","797","130","68","603","194","194","0","0","4","763","3","2","29","195","0","3","0","0","764","0","32","1","0","0","1","127","70","0","10","550","237"
"Kedah","5.7005","100.4201","Merbok","451","216357","480","204839","11518","110726","105631","74.1","160321","13.5","29208","12.1","26179","0.4","865","25.7","55604","68.5","148205","5.8","12549","69.7","150801","46.1","37.6","8.5","105","66891","52104","3.9","1859","1639","817","600","87.3","188880","10.9","23583","1.8","3894","98.8","98800","94.7","94700","4.2","4200","64.6","64600","60.5","4.2","4350","5967","3394","0.4","11.1","47","247","25","22","158","89","40","0","7","0","215","4","25","3","40","1","0","6","0","217","0","5","25","0","0","2","21","24","0","3","155","89"
"Kedah","5.6436","100.4894","Sungai Petani","261","275439","1055","252746","22693","142830","132609","69.2","190604","19.3","53160","11","30298","0.5","1377","26.6","73267","68.2","187849","5.1","14047","68.6","188951","46.5","39","7.5","108","83034","66451","4","2243","2034","987","746","81.5","224483","18.3","50405","0.2","551","110.9","110900","106.9","106900","4","4000","73","73000","60.3","3.6","4373","5745","3255","0.36","9.2","61","345","24","37","212","133","48","2","11","0","293","6","45","1","50","1","1","9","0","293","3","7","42","0","0","0","41","20","0","1","222","122"
"Kedah","5.6755","100.9168","Baling","1540","142530","93","139748","2782","72989","69541","92.1","131270","3","4276","3.2","4561","1.6","2280","24.6","35062","66.4","94640","9","12828","70","99771","50.6","37","13.6","105","41987","37356","3.8","1176","1110","517","407","86.6","123431","10.2","14538","3.2","4561","70.7","70700","68.2","68200","2.5","2500","35.4","35400","66.6","3.6","3583","4313","2535","0.34","17.9","136","627","96","40","490","137","133","0","2","1","601","1","9","16","134","0","0","2","0","606","0","13","8","0","0","1","87","48","0","6","443","178"
"Kedah","5.5125","100.5556","Padang Serai","343","261937","764","245829","16108","134405","127532","70.1","183618","14.2","37195","15.2","39814","0.5","1310","27.5","72033","68.3","178903","4.3","11263","67.3","176284","46.5","40.3","6.2","105","72519","62327","4.1","2058","2024","905","742","79.5","208240","17.3","45315","3.2","8382","118","118000","113.5","113500","4.6","4600","63.8","63800","64.9","3.9","4419","5293","3038","0.32","9.5","23","84","15","8","51","33","21","0","2","0","78","1","5","0","21","0","0","2","0","78","1","1","4","0","0","0","16","7","0","0","49","35"
