"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Johor","1.8522","103.0414","Sri Gading","300","175154","584","157464","17690","94562","80592","70.1","122783","27.6","48343","1.8","3153","0.5","876","19.7","34505","75.9","132942","4.4","7707","75","131366","31.7","25.9","5.8","117","40464","38565","4.1","1108","1092","460","336","88.5","155011","10.5","18391","1","1752","75.8","75800","74.3","74300","1.5","1500","32.3","32300","70.1","2","7088","8227","4594","0.316","2.3","3","86","2","1","49","37","3","0","0","0","80","1","2","3","3","0","0","0","0","84","0","1","1","0","0","0","3","0","1","0","55","30"
"Johor","1.8494","102.9288","Batu Pahat","446","166000","372","159314","6686","86204","79796","56.8","94288","41.8","69388","1.1","1826","0.3","498","22.9","38014","68.5","113710","8.6","14276","70.7","117362","45.9","33.3","12.5","108","46047","40882","3.9","1204","1057","499","324","88.5","146910","10.5","17430","1","1660","72.8","72800","71.5","71500","1.4","1400","30.3","30300","70.6","1.9","6450","7265","4571","0.286","2.5","12","176","7","5","123","53","11","0","1","0","161","8","3","4","11","0","0","1","0","165","0","8","3","0","0","0","10","2","0","6","128","42"
"Johor","1.8273","103.31","Simpang Renggam","751","76,286","102","65,935","10,351","43,047","33,239","67.5","51493","24.7","18843","7.1","5416","0.7","534","22.8","17393","69.6","53095","7.6","5798","72.3","55155","43.6","32.7","10.9","130","21,150","18,636","3.8","519","551","216","169","79.8","60876","18.7","14265","1.5","1144","36.1","36100","34.4","34400","1.7","1700","14.6","14600","71.2","4.8","4213","5,237","3,307","0.354","9.9","17","57","9","8","35","22","10","2","4","1","39","9","7","2","11","0","2","4","0","42","0","8","6","1","0","0","7","10","0","0","40","17"
"Johor","2.0301","103.3185","Kluang","256","183,855","718","169,394","14,461","98,809","85,046","52.9","97259","37.6","69129","9.1","16731","0.4","735","23.9","43941","67.9","124838","8.2","15076","71.1","130721","47.3","35.3","12","116","55,050","47,305","3.7","1,367","1,292","567","397","81.2","149290","16.8","30888","2","3677","84.7","84700","80.9","80900","3.7","3700","33.8","33800","71.5","4.4","5257","6,286","3,824","0.327","3.6","8","57","2","6","31","26","5","2","1","0","28","17","12","0","5","0","2","1","0","28","0","16","12","1","0","1","3","4","0","0","30","27"
"Johor","2.0058","103.0642","Sembrong","1865","63621","34","54652","8969","37458","26163","68.3","43453","22.4","14251","8.8","5599","0.5","318","21.5","13679","69.7","44344","8.8","5599","73.9","47016","43.5","30.9","12.6","143","17901","16052","3.7","399","473","166","145","77.7","49434","12","7635","10.3","6553","28.9","28900","27.5","27500","1.4","1400","11.8","11800","71","5","4541","5279","3396","0.306","5.4","8","32","3","5","21","11","5","1","2","0","23","6","2","1","5","1","1","1","0","24","0","5","1","2","0","0","5","3","0","0","20","12"
"Johor","2.4309","103.8361","Mersing","2849","78195","27","74072","4123","41939","36256","88.9","69515","9.6","7507","1.2","938","0.3","235","24","18767","67.9","53094","8.1","6334","71","55518","47.3","35.4","11.9","116","21815","20673","3.6","571","536","237","164","77.5","60601","11.5","8992","10.9","8523","30.7","30700","29.7","29700","1.1","1100","20.1","20100","60.4","3.5","3896","4937","3225","0.377","12.1","3","198","0","3","126","72","3","0","0","0","184","4","3","7","3","0","0","0","0","188","1","4","2","3","0","1","2","0","0","2","141","55"
"Johor","1.85","103.666667","Tenggara","1152","94174","82","89286","4888","49079","45095","79.6","74963","14.6","13749","5.3","4991","0.5","471","24.8","23355","68.2","64227","7","6592","70.1","66016","46.7","36.4","10.3","109","28953","24665","3.8","737","658","306","203","84.8","79860","14.1","13279","1.1","1036","43.7","43700","42.3","42300","1.4","1400","19.3","19300","69.4","3.2","5553","7411","4159","0.359","5.1","5","77","2","3","49","28","4","0","1","0","70","1","2","4","5","0","0","0","0","73","0","1","1","2","0","0","4","1","0","0","46","31"
"Johor","1.7294","103.8992","Kota Tinggi","1446","57377","40","52962","4415","30497","26880","95.8","54967","3.1","1779","0.7","402","0.4","230","23.4","13426","65.3","37467","11.4","6541","72.1","41369","53.3","35.8","17.5","113","17147","14867","3.8","435","407","181","125","75.3","43205","10.7","6139","14","8033","25.1","25100","24.2","24200","0.9","900","11","11000","69.6","3.5","4480","5895","3444","0.355","9.7","19","252","9","10","183","69","19","0","0","0","247","0","3","2","19","0","0","0","0","251","0","0","1","0","0","0","10","9","0","0","196","56"
"Johor","1.3647","104.1111","Pengerang","885","70831","80","66327","4504","38846","31985","93.2","66014","6","4250","0.6","425","0.3","212","22.3","15795","67.9","48094","9.9","7012","71.8","50857","47.4","32.9","14.5","121","24215","18254","3.7","477","468","197","144","73.6","52132","18.2","12891","8.2","5808","31.9","31900","30.7","30700","1.2","1200","13.6","13600","70.1","3.9","5609","7126","4030","0.357","4.4","9","98","1","8","54","44","9","0","0","0","95","2","0","1","9","0","0","0","0","96","0","2","0","0","0","1","5","3","0","3","56","39"
"Johor","1.5714","103.7521","Tebrau","502","475267","947","440886","34381","253333","221934","53.1","252367","38.7","183928","7.5","35645","0.7","3327","26.2","124520","70.7","336014","3","14258","69.2","328885","41.4","37.1","4.3","114","157077","127720","3.6","3566","3330","1480","1023","74.8","355500","23.6","112163","1.6","7604","230.1","230100","221.9","221900","8.2","8200","86","86000","72.8","3.6","7142","8706","5116","0.356","3.7","4","122","4","0","74","48","4","0","0","0","99","10","12","1","4","0","0","0","0","105","1","9","5","2","0","0","4","0","0","1","93","28"
"Johor","1.4703","103.903","Pasir Gudang","148","360621","2437","332151","28470","194327","166294","60.2","217094","31.8","114677","7.2","25965","0.7","2524","26.3","94843","70.7","254959","2.9","10458","69.2","249550","41.4","37.2","4.2","117","115460","98468","3.5","2693","2587","1117","794","67.3","242698","31.4","113235","1.3","4688","175.5","175500","168","168000","7.6","7600","65.5","65500","72.8","4.3","6783","8652","4511","0.382","4.9","2","117","0","2","66","51","1","0","0","1","72","11","28","6","2","0","0","0","0","83","6","10","16","2","0","0","0","2","2","2","86","27"
"Johor","1.4927","103.7414","Johor Bahru","35","177823","5081","165082","12741","92239","85584","54.8","97447","38.5","68462","6","10669","0.8","1423","21.7","38588","71.5","127143","6.7","11914","74.4","132300","39.8","30.4","9.4","108","70825","53460","3.2","1365","1211","566","372","64.9","115407","34.1","60638","1","1778","87.4","87400","84.3","84300","3.1","3100","31.4","31400","73.6","3.5","6625","9993","5664","0.454","3.4","16","108","6","10","55","53","8","6","1","1","80","15","13","0","9","1","5","1","0","84","3","13","8","0","0","1","9","6","0","0","56","52"
"Johor","1.497","103.6131","Pulai","73","291876","3998","273983","17893","151870","140006","47.3","138057","40.7","118794","11.5","33566","0.5","1459","26.6","77639","68.9","201103","4.5","13134","69.1","201686","45.1","38.7","6.5","108","104883","77387","3.6","2230","1982","925","609","71.2","207816","22.7","66256","6.1","17804","136.7","136700","131.7","131700","5","5000","51","51000","72.8","3.7","8286","9559","5827","0.334","1.1","8","77","5","3","43","34","5","2","1","0","54","7","13","3","6","0","2","0","0","57","1","6","11","2","0","1","4","3","0","2","53","22"
"Johor","1.42","103.6305","Iskandar Puteri","294","447697","1523","417166","30531","235812","211885","47.7","213551","39.5","176840","12.4","55514","0.4","1791","27.7","124012","68.5","306672","3.8","17012","67.1","300405","46.1","40.5","5.6","111","171063","114386","3.7","3309","3061","1373","941","70.4","315179","29.1","130280","0.5","2238","206.7","206700","198.8","198800","7.9","7900","75.3","75300","73.3","3.8","7815","10110","6275","0.392","2.4","7","69","4","3","41","28","5","1","1","0","30","11","17","11","5","0","1","1","0","37","4","8","16","4","0","0","3","4","0","0","51","18"
"Johor","1.663","103.5999","Kulai","737","287404","390","241054","46350","157468","129936","53.7","154336","35.3","101454","10.4","29890","0.6","1724","20.5","58918","74.6","214403","5","14370","74.6","214403","34.1","27.4","6.7","121","74762","66447","3.7","1992","1908","827","586","74.2","213254","21.5","61792","4.3","12358","127.1","127100","122.3","122300","4.7","4700","63.7","63700","66.6","3.7","6834","8185","4802","0.331","4.2","2","175","0","2","93","82","1","0","1","0","107","28","37","3","1","0","0","1","0","115","1","25","31","3","0","0","1","1","0","3","129","43"
"Johor","1.4856","103.3879","Pontian","444","81778","184","77470","4308","42822","38956","77.7","63542","21.3","17419","0.6","491","0.4","327","23.6","19300","65.8","53810","10.6","8668","71.1","58144","52","35.9","16.1","110","22388","20323","4","627","564","260","174","81.8","66894","17.5","14311","0.7","572","34.1","34100","32.7","32700","1.5","1500","17.4","17400","66.3","4.3","5692","6636","3836","0.335","4.9","2","192","2","0","125","67","2","0","0","0","184","6","0","2","2","0","0","0","0","186","0","6","0","0","0","0","2","0","0","2","123","67"
"Johor","1.2665","103.5111","Tanjung Piai","486","91540","188","82513","9027","50425","41115","66.7","61057","31.6","28927","1.1","1007","0.6","549","22.9","20963","69.1","63254","8.1","7415","72.8","66641","44.8","33.1","11.7","123","24304","22196","3.9","660","660","273","203","80.4","73598","18.3","16752","1.3","1190","39.4","39400","37.9","37900","1.5","1500","19.9","19900","66.5","3.9","5118","6904","3751","0.369","6.6","3","106","2","1","56","50","3","0","0","0","97","9","0","0","3","0","0","0","0","97","0","9","0","0","0","0","1","2","0","1","68","37"
